EventTime,Time,NR,A
2018-11-01 03:54:00,3.0,0,0
2018-11-01 03:54:00,3.0,1,0
2018-11-01 07:59:00,3.0,0,0
2018-11-01 08:02:00,4.0,1,0
2018-11-01 08:46:00,2.0,0,0
2018-11-01 08:51:00,3.0,1,0
2018-11-01 09:30:00,3.0,0,0
2018-11-01 09:32:00,3.0,1,0
2018-11-02 00:45:00,3.0,0,0
2018-11-02 00:50:00,4.0,1,0
2018-11-02 07:58:00,3.0,0,0
2018-11-02 08:01:00,3.0,1,0
2018-11-02 08:45:00,2.0,0,0
2018-11-02 08:47:00,3.0,1,0
2018-11-02 09:19:00,3.0,0,0
2018-11-02 09:22:00,3.0,1,0
2018-11-02 09:29:00,2.0,0,0
2018-11-02 09:33:00,3.0,1,0
2018-11-02 09:37:00,2.0,0,0
2018-11-02 09:39:00,3.0,1,0
2018-11-02 09:56:00,3.0,0,0
2018-11-02 09:59:00,3.0,1,0
2018-11-02 10:20:00,2.0,0,0
2018-11-02 10:23:00,3.0,1,0
2018-11-02 10:54:00,3.0,0,0
2018-11-02 10:57:00,3.0,1,0
2018-11-02 11:10:00,3.0,0,0
2018-11-02 11:17:00,3.0,1,0
2018-11-02 11:21:00,3.0,0,0
2018-11-02 11:23:00,3.0,1,0
2018-11-02 11:27:00,3.0,0,0
2018-11-02 11:29:00,3.0,1,0
2018-11-02 11:35:00,3.0,0,0
2018-11-02 11:38:00,3.0,1,0
2018-11-02 19:49:00,3.0,0,0
2018-11-02 19:51:00,3.0,1,0
2018-11-02 22:05:00,3.0,0,0
2018-11-02 22:07:00,3.0,1,0
2018-11-03 01:48:00,4.0,0,0
2018-11-03 04:53:00,3.0,1,0
2018-11-03 18:02:00,2.0,0,0
2018-11-03 18:20:00,4.0,1,0
2018-11-03 18:22:00,3.0,0,0
2018-11-03 18:28:00,3.0,1,0
2018-11-03 18:32:00,3.0,0,0
2018-11-03 18:48:00,3.0,1,0
2018-11-03 18:50:00,3.0,0,0
2018-11-03 19:03:00,3.0,1,0
2018-11-03 19:13:00,3.0,0,0
2018-11-03 19:16:00,3.0,1,0
2018-11-03 19:19:00,2.0,0,0
2018-11-03 19:32:00,3.0,1,0
2018-11-03 19:38:00,3.0,0,0
2018-11-03 19:49:00,3.0,1,0
2018-11-03 19:51:00,3.0,0,0
2018-11-03 20:04:00,3.0,1,0
2018-11-03 20:11:00,2.0,0,0
2018-11-03 20:13:00,3.0,1,0
2018-11-03 20:18:00,3.0,0,0
2018-11-03 20:26:00,3.0,1,0
2018-11-03 20:31:00,3.0,0,0
2018-11-03 20:46:00,3.0,1,0
2018-11-03 20:48:00,3.0,0,0
2018-11-03 21:01:00,3.0,1,0
2018-11-03 21:11:00,3.0,0,0
2018-11-03 21:16:00,3.0,1,0
2018-11-03 21:21:00,3.0,0,0
2018-11-03 21:34:00,3.0,1,0
2018-11-03 21:36:00,3.0,0,0
2018-11-03 21:48:00,3.0,1,0
2018-11-03 21:49:00,3.0,0,0
2018-11-03 22:00:00,3.0,1,0
2018-11-03 22:12:00,2.0,0,0
2018-11-03 22:16:00,3.0,1,0
2018-11-03 22:22:00,3.0,0,0
2018-11-03 22:29:00,3.0,1,0
2018-11-03 22:39:00,2.0,0,0
2018-11-03 22:45:00,3.0,1,0
2018-11-03 22:52:00,3.0,0,0
2018-11-03 22:59:00,3.0,1,0
2018-11-03 23:22:00,3.0,0,0
2018-11-03 23:29:00,3.0,1,0
2018-11-03 23:33:00,2.0,0,0
2018-11-03 23:39:00,4.0,1,0
2018-11-03 23:43:00,2.0,0,0
2018-11-03 23:48:00,3.0,1,0
2018-11-03 23:56:00,3.0,0,0
2018-11-03 23:59:00,3.0,1,0
2018-11-04 00:13:00,3.0,0,0
2018-11-04 00:21:00,3.0,1,0
2018-11-04 00:23:00,3.0,0,0
2018-11-04 00:30:00,3.0,1,0
2018-11-04 00:41:00,3.0,0,0
2018-11-04 00:55:00,4.0,1,0
2018-11-04 00:59:00,3.0,0,0
2018-11-04 01:04:00,3.0,1,0
2018-11-04 01:10:00,3.0,0,0
2018-11-04 01:15:00,3.0,1,0
2018-11-04 01:17:00,2.0,0,0
2018-11-04 01:21:00,3.0,1,0
2018-11-04 01:24:00,3.0,0,0
2018-11-04 01:26:00,3.0,1,0
2018-11-04 01:28:00,3.0,0,0
2018-11-04 04:51:00,3.0,1,0
2018-11-05 00:40:00,3.0,0,0
2018-11-05 00:43:00,3.0,1,0
2018-11-05 07:59:00,3.0,0,0
2018-11-05 08:02:00,4.0,1,0
2018-11-05 08:50:00,3.0,0,0
2018-11-05 08:53:00,3.0,1,0
2018-11-05 09:26:00,3.0,0,0
2018-11-05 09:29:00,3.0,1,0
2018-11-06 08:00:00,3.0,0,0
2018-11-06 08:04:00,3.0,1,0
2018-11-06 08:46:00,2.0,0,0
2018-11-06 08:50:00,3.0,1,0
2018-11-06 09:27:00,3.0,0,0
2018-11-06 09:30:00,3.0,1,0
2018-11-06 14:38:00,3.0,0,0
2018-11-06 14:40:00,3.0,1,0
2018-11-07 07:58:00,3.0,0,0
2018-11-07 08:01:00,3.0,1,0
2018-11-07 08:43:00,3.0,0,0
2018-11-07 08:47:00,3.0,1,0
2018-11-07 09:03:00,3.0,0,0
2018-11-07 09:05:00,3.0,1,0
2018-11-07 09:27:00,3.0,0,0
2018-11-07 09:30:00,3.0,1,0
2018-11-07 10:15:00,3.0,0,0
2018-11-07 10:20:00,3.0,1,0
2018-11-07 10:29:00,3.0,0,0
2018-11-07 10:31:00,3.0,1,0
2018-11-07 10:37:00,3.0,0,0
2018-11-07 10:40:00,2.0,1,0
2018-11-07 10:44:00,3.0,0,0
2018-11-07 10:46:00,3.0,1,0
2018-11-07 14:00:00,3.0,0,0
2018-11-07 14:11:00,3.0,1,0
2018-11-08 07:57:00,3.0,0,0
2018-11-08 08:01:00,3.0,1,0
2018-11-08 08:48:00,3.0,0,0
2018-11-08 08:52:00,3.0,1,0
2018-11-08 09:26:00,2.0,0,0
2018-11-08 09:29:00,3.0,1,0
2018-11-08 16:50:00,3.0,0,0
2018-11-08 16:52:00,3.0,1,0
2018-11-08 22:38:00,3.0,0,0
2018-11-08 22:43:00,3.0,1,0
2018-11-12 03:28:00,3.0,0,0
2018-11-12 04:16:00,3.0,1,0
2018-11-12 08:01:00,3.0,0,0
2018-11-12 08:02:00,3.0,1,0
2018-11-12 08:48:00,3.0,0,0
2018-11-12 08:50:00,3.0,1,0
2018-11-12 09:27:00,3.0,0,0
2018-11-12 09:30:00,3.0,1,0
2018-11-13 07:58:00,3.0,0,0
2018-11-13 08:01:00,3.0,1,0
2018-11-13 08:46:00,3.0,0,0
2018-11-13 08:49:00,3.0,1,0
2018-11-13 09:27:00,3.0,0,0
2018-11-13 09:31:00,3.0,1,0
2018-11-14 07:58:00,3.0,0,0
2018-11-14 08:01:00,3.0,1,0
2018-11-14 08:49:00,3.0,0,0
2018-11-14 08:51:00,3.0,1,0
2018-11-14 09:33:00,3.0,0,0
2018-11-14 09:35:00,3.0,1,0
2018-11-15 08:00:00,3.0,0,0
2018-11-15 08:03:00,3.0,1,0
2018-11-15 08:49:00,2.0,0,0
2018-11-15 08:51:00,3.0,1,0
2018-11-15 09:26:00,3.0,0,0
2018-11-15 09:29:00,3.0,1,0
2018-11-16 06:16:00,3.0,0,0
2018-11-16 06:21:00,3.0,1,0
2018-11-16 07:58:00,3.0,0,0
2018-11-16 08:00:00,3.0,1,0
2018-11-16 08:47:00,3.0,0,0
2018-11-16 08:52:00,3.0,1,0
2018-11-16 09:33:00,3.0,0,0
2018-11-16 09:35:00,3.0,1,0
2018-11-16 16:18:00,2.0,0,0
2018-11-16 16:21:00,3.0,1,0
2018-11-16 16:28:00,2.0,0,0
2018-11-16 16:37:00,3.0,1,0
2018-11-16 16:51:00,3.0,0,0
2018-11-16 16:54:00,3.0,1,0
2018-11-17 00:01:00,3.0,0,0
2018-11-17 00:12:00,3.0,1,0
2018-11-17 00:16:00,3.0,0,0
2018-11-17 00:21:00,3.0,1,0
2018-11-19 08:00:00,3.0,0,0
2018-11-19 08:03:00,3.0,1,0
2018-11-19 08:47:00,2.0,0,0
2018-11-19 08:51:00,4.0,1,0
2018-11-19 09:27:00,3.0,0,0
2018-11-19 09:30:00,3.0,1,0
2018-11-19 22:11:00,3.0,0,0
2018-11-19 22:21:00,3.0,1,0
2018-11-19 22:28:00,3.0,0,0
2018-11-19 22:39:00,3.0,1,0
2018-11-19 22:42:00,3.0,0,0
2018-11-19 22:51:00,3.0,1,0
2018-11-19 22:57:00,3.0,0,0
