EventTime,Time,NR,A
2018-11-01 00:08:00,6.0,1,0
2018-11-01 00:50:00,6.0,0,0
2018-11-01 00:52:00,5.0,1,0
2018-11-01 01:07:00,6.0,0,0
2018-11-01 01:17:00,6.0,1,0
2018-11-01 01:20:00,6.0,0,0
2018-11-01 02:32:00,6.0,1,0
2018-11-01 03:42:00,6.0,0,0
2018-11-01 04:06:00,6.0,1,0
2018-11-01 04:36:00,5.0,0,0
2018-11-01 05:20:00,5.0,1,0
2018-11-01 05:22:00,5.0,0,0
2018-11-01 05:48:00,5.0,1,0
2018-11-01 05:54:00,5.0,0,0
2018-11-01 06:00:00,6.0,1,0
2018-11-01 06:03:00,5.0,0,0
2018-11-01 06:17:00,6.0,1,0
2018-11-01 06:24:00,6.0,0,0
2018-11-01 06:36:00,6.0,1,0
2018-11-01 06:43:00,6.0,0,0
2018-11-01 06:47:00,6.0,1,0
2018-11-01 07:00:00,5.0,0,0
2018-11-01 07:02:00,6.0,1,0
2018-11-01 07:08:00,6.0,0,0
2018-11-01 07:12:00,5.0,1,0
2018-11-01 07:40:00,6.0,0,0
2018-11-01 07:41:00,5.0,1,0
2018-11-01 07:50:00,5.0,0,0
2018-11-01 07:52:00,6.0,1,0
2018-11-01 07:59:00,5.0,0,0
2018-11-01 08:00:00,6.0,1,0
2018-11-01 08:20:00,5.0,0,0
2018-11-01 08:25:00,5.0,1,0
2018-11-01 08:35:00,5.0,0,0
2018-11-01 08:37:00,5.0,1,0
2018-11-01 08:49:00,5.0,0,0
2018-11-01 08:53:00,5.0,1,0
2018-11-01 09:01:00,6.0,0,0
2018-11-01 09:09:00,6.0,1,0
2018-11-01 09:19:00,6.0,0,0
2018-11-01 09:25:00,5.0,1,0
2018-11-01 09:31:00,6.0,0,0
2018-11-01 09:37:00,6.0,1,0
2018-11-01 09:47:00,5.0,0,0
2018-11-01 09:51:00,6.0,1,0
2018-11-01 09:54:00,5.0,0,0
2018-11-01 10:12:00,6.0,1,0
2018-11-01 10:18:00,6.0,0,0
2018-11-01 10:37:00,5.0,1,0
2018-11-01 11:00:00,5.0,0,0
2018-11-01 11:05:00,6.0,1,0
2018-11-01 11:17:00,6.0,0,0
2018-11-01 11:36:00,6.0,1,0
2018-11-01 11:49:00,6.0,0,0
2018-11-01 11:53:00,6.0,1,0
2018-11-01 11:56:00,6.0,0,0
2018-11-01 12:05:00,6.0,1,0
2018-11-01 12:18:00,5.0,0,0
2018-11-01 12:29:00,6.0,1,0
2018-11-01 12:36:00,5.0,0,0
2018-11-01 12:41:00,5.0,1,0
2018-11-01 12:48:00,6.0,0,0
2018-11-01 12:51:00,5.0,1,0
2018-11-01 12:55:00,6.0,0,0
2018-11-01 13:10:00,5.0,1,0
2018-11-01 13:16:00,5.0,0,0
2018-11-01 13:38:00,6.0,1,0
2018-11-01 13:47:00,5.0,0,0
2018-11-01 14:03:00,6.0,1,0
2018-11-01 14:16:00,6.0,0,0
2018-11-01 14:46:00,5.0,1,0
2018-11-01 14:58:00,6.0,0,0
2018-11-01 15:03:00,6.0,1,0
2018-11-01 15:06:00,5.0,0,0
2018-11-01 15:17:00,5.0,1,0
2018-11-01 15:20:00,5.0,0,0
2018-11-01 15:23:00,6.0,1,0
2018-11-01 15:29:00,6.0,0,0
2018-11-01 15:32:00,5.0,1,0
2018-11-01 15:38:00,5.0,0,0
2018-11-01 15:40:00,6.0,1,0
2018-11-01 15:45:00,5.0,0,0
