EventTime,Time,NR,A
2018-11-01 03:49:00,3.0,0,0
2018-11-01 03:50:00,3.0,1,0
2018-11-01 04:10:00,2.0,0,0
2018-11-01 04:21:00,3.0,1,0
2018-11-01 04:24:00,3.0,0,0
2018-11-01 04:26:00,3.0,1,0
2018-11-01 04:33:00,2.0,0,0
2018-11-01 04:37:00,3.0,1,0
2018-11-01 05:23:00,3.0,0,0
2018-11-01 05:26:00,3.0,1,0
2018-11-01 09:19:00,3.0,0,0
2018-11-01 09:22:00,2.0,1,0
2018-11-02 04:04:00,3.0,0,0
2018-11-02 04:13:00,3.0,1,0
2018-11-02 04:33:00,3.0,0,0
2018-11-02 04:38:00,3.0,1,0
2018-11-02 05:24:00,3.0,0,0
2018-11-02 05:28:00,3.0,1,0
2018-11-05 00:53:00,3.0,0,0
2018-11-05 00:53:00,3.0,1,0
2018-11-05 04:33:00,3.0,0,0
2018-11-05 04:39:00,3.0,1,0
2018-11-06 04:32:00,2.0,0,0
2018-11-06 04:37:00,3.0,1,0
2018-11-07 01:34:00,2.0,0,0
2018-11-07 01:38:00,3.0,1,0
2018-11-07 02:55:00,3.0,0,0
2018-11-07 03:07:00,3.0,1,0
2018-11-07 04:33:00,3.0,0,0
2018-11-07 04:37:00,2.0,1,0
2018-11-07 13:49:00,3.0,0,0
2018-11-07 13:51:00,3.0,1,0
2018-11-08 04:33:00,3.0,0,0
2018-11-08 04:34:00,3.0,1,0
2018-11-10 06:35:00,3.0,0,0
2018-11-10 06:42:00,3.0,1,0
2018-11-10 12:53:00,3.0,0,0
2018-11-10 12:53:00,3.0,1,0
2018-11-11 15:24:00,3.0,0,0
2018-11-11 15:28:00,3.0,1,0
2018-11-12 04:33:00,3.0,0,0
2018-11-12 04:37:00,3.0,1,0
2018-11-13 04:33:00,2.0,0,0
2018-11-13 04:37:00,3.0,1,0
2018-11-14 01:49:00,3.0,0,0
2018-11-14 01:49:00,3.0,1,0
2018-11-14 04:33:00,3.0,0,0
2018-11-14 04:37:00,3.0,1,0
2018-11-14 13:46:00,3.0,0,0
2018-11-14 13:47:00,3.0,1,0
2018-11-15 04:33:00,3.0,0,0
2018-11-15 04:36:00,3.0,1,0
2018-11-16 01:39:00,3.0,0,0
2018-11-16 01:39:00,3.0,1,0
2018-11-16 04:33:00,3.0,0,0
2018-11-16 04:37:00,3.0,1,0
2018-11-16 13:04:00,3.0,0,0
2018-11-16 13:07:00,2.0,1,0
2018-11-19 01:04:00,3.0,0,0
2018-11-19 01:04:00,2.0,1,0
2018-11-19 04:27:00,3.0,0,0
2018-11-19 04:30:00,3.0,1,0
2018-11-19 04:33:00,2.0,0,0
2018-11-19 04:38:00,3.0,1,0
2018-11-20 03:27:00,3.0,0,0
2018-11-20 03:27:00,3.0,1,0
2018-11-20 04:33:00,3.0,0,0
2018-11-20 04:37:00,3.0,1,0
2018-11-21 04:33:00,2.0,0,0
2018-11-21 04:37:00,3.0,1,0
2018-11-21 09:35:00,3.0,0,0
2018-11-21 09:40:00,3.0,1,0
2018-11-21 09:43:00,3.0,0,0
2018-11-21 09:49:00,3.0,1,0
2018-11-21 09:54:00,3.0,0,0
2018-11-21 10:00:00,2.0,1,0
2018-11-21 10:02:00,3.0,0,0
2018-11-21 10:05:00,3.0,1,0
2018-11-21 10:11:00,3.0,0,0
2018-11-21 10:13:00,3.0,1,0
2018-11-21 10:17:00,3.0,0,0
2018-11-21 10:18:00,2.0,1,0
2018-11-21 13:44:00,3.0,0,0
2018-11-21 13:47:00,3.0,1,0
2018-11-22 04:33:00,3.0,0,0
2018-11-22 04:41:00,2.0,1,0
2018-11-22 12:42:00,3.0,0,0
2018-11-22 12:45:00,2.0,1,0
2018-11-22 12:53:00,3.0,0,0
2018-11-22 12:55:00,3.0,1,0
2018-11-23 04:33:00,3.0,0,0
2018-11-23 04:37:00,2.0,1,0
2018-11-25 04:03:00,3.0,0,0
2018-11-25 04:34:00,2.0,1,0
2018-11-26 02:12:00,2.0,0,0
2018-11-26 02:27:00,3.0,1,0
2018-11-26 04:32:00,3.0,0,0
2018-11-26 04:37:00,3.0,1,0
2018-11-27 01:44:00,3.0,0,0
2018-11-27 01:57:00,2.0,1,0
2018-11-27 04:32:00,3.0,0,0
2018-11-27 04:37:00,3.0,1,0
2018-11-28 04:34:00,3.0,0,0
2018-11-28 04:36:00,2.0,1,0
2018-11-28 11:53:00,3.0,0,0
2018-11-28 11:54:00,3.0,1,0
2018-11-28 14:44:00,3.0,0,0
2018-11-28 14:47:00,3.0,1,0
2018-11-28 20:36:00,3.0,0,0
2018-11-28 20:37:00,3.0,1,0
2018-11-28 22:03:00,3.0,0,0
2018-11-28 22:06:00,3.0,1,0
2018-11-28 22:58:00,3.0,0,0
2018-11-28 23:00:00,3.0,1,0
2018-11-29 04:19:00,2.0,0,0
2018-11-29 04:31:00,3.0,1,0
2018-11-29 04:33:00,3.0,0,0
2018-11-29 04:35:00,3.0,1,0
2018-11-29 09:18:00,3.0,0,0
2018-11-29 09:22:00,3.0,1,0
2018-11-29 13:45:00,2.0,0,0
2018-11-29 13:47:00,3.0,1,0
2018-11-10 08:26:53,0.1,2,1
2018-11-10 08:29:26,0.1,2,1
2018-11-10 12:48:57,0.1,2,1
2018-11-10 12:48:59,0.1,2,1
2018-11-10 18:30:16,0.1,2,1
2018-11-10 18:30:20,0.1,2,1
2018-11-10 18:37:20,0.1,2,1
2018-11-10 18:37:34,0.1,2,1
2018-11-11 02:54:58,0.1,2,1
2018-11-11 02:55:06,0.1,2,1
2018-11-11 02:57:51,0.1,2,1
2018-11-11 03:01:20,0.1,2,1
