EventTime,Time,NR,A
2018-11-01 03:55:00,4.0,0,0
2018-11-01 03:57:00,5.0,1,0
2018-11-01 10:48:00,5.0,0,0
2018-11-01 10:50:00,5.0,1,0
2018-11-01 12:01:00,5.0,0,0
2018-11-01 12:05:00,5.0,1,0
2018-11-01 15:35:00,5.0,0,0
2018-11-01 15:37:00,5.0,1,0
2018-11-01 16:05:00,5.0,0,0
2018-11-01 16:07:00,5.0,1,0
2018-11-01 23:51:00,5.0,0,0
2018-11-01 23:55:00,5.0,1,0
2018-11-02 00:52:00,4.0,0,0
2018-11-02 00:55:00,5.0,1,0
2018-11-02 01:32:00,5.0,0,0
2018-11-02 02:03:00,4.0,1,0
2018-11-02 09:36:00,5.0,0,0
2018-11-02 09:38:00,4.0,1,0
2018-11-02 16:07:00,4.0,0,0
2018-11-02 16:09:00,5.0,1,0
2018-11-02 16:11:00,4.0,0,0
2018-11-02 16:13:00,4.0,1,0
2018-11-02 18:44:00,4.0,0,0
2018-11-02 18:48:00,5.0,1,0
2018-11-02 19:38:00,5.0,0,0
2018-11-02 19:42:00,5.0,1,0
2018-11-02 20:11:00,5.0,0,0
2018-11-02 20:14:00,4.0,1,0
2018-11-02 21:00:00,5.0,0,0
2018-11-02 21:05:00,4.0,1,0
2018-11-03 00:23:00,5.0,0,0
2018-11-03 00:31:00,5.0,1,0
2018-11-03 00:37:00,4.0,0,0
2018-11-03 00:39:00,5.0,1,0
2018-11-05 03:06:00,5.0,0,0
2018-11-05 03:17:00,4.0,1,0
2018-11-05 03:40:00,5.0,0,0
2018-11-05 03:55:00,4.0,1,0
2018-11-06 12:51:00,5.0,0,0
2018-11-06 12:54:00,5.0,1,0
2018-11-07 03:49:00,5.0,0,0
2018-11-07 03:52:00,4.0,1,0
2018-11-07 04:16:00,5.0,0,0
2018-11-07 04:18:00,4.0,1,0
2018-11-07 21:09:00,5.0,0,0
2018-11-07 21:12:00,4.0,1,0
2018-11-09 10:49:00,5.0,0,0
2018-11-09 10:55:00,5.0,1,0
2018-11-09 11:31:00,4.0,0,0
2018-11-09 11:35:00,5.0,1,0
2018-11-11 00:05:00,5.0,0,0
2018-11-11 00:24:00,5.0,1,0
2018-11-11 00:55:00,5.0,0,0
2018-11-11 01:02:00,5.0,1,0
2018-11-11 01:30:00,4.0,0,0
2018-11-11 01:41:00,4.0,1,0
2018-11-11 01:52:00,4.0,0,0
2018-11-11 02:00:00,4.0,1,0
2018-11-11 17:00:00,4.0,0,0
2018-11-11 17:02:00,5.0,1,0
2018-11-12 00:30:00,5.0,0,0
2018-11-12 00:36:00,4.0,1,0
2018-11-12 00:41:00,4.0,0,0
2018-11-12 00:43:00,4.0,1,0
2018-11-12 01:04:00,5.0,0,0
2018-11-12 01:17:00,4.0,1,0
2018-11-12 19:19:00,4.0,0,0
2018-11-12 19:25:00,4.0,1,0
2018-11-12 22:15:00,4.0,0,0
2018-11-12 22:18:00,5.0,1,0
2018-11-13 00:12:00,5.0,0,0
2018-11-13 00:19:00,4.0,1,0
