EventTime,Time,NR,A
2018-11-01 00:22:00,1.0,1,0
2018-11-01 00:23:00,1.0,0,0
2018-11-01 00:26:00,1.0,1,0
2018-11-01 01:27:00,0.0,0,0
2018-11-01 01:32:00,1.0,1,0
2018-11-01 03:35:00,1.0,0,0
2018-11-01 06:53:00,1.0,1,0
2018-11-01 06:55:00,1.0,0,0
2018-11-01 07:01:00,1.0,1,0
2018-11-01 07:19:00,1.0,0,0
2018-11-01 09:17:00,2.0,1,0
2018-11-01 10:38:00,1.0,0,0
2018-11-01 11:06:00,1.0,1,0
2018-11-01 11:15:00,1.0,0,0
2018-11-01 11:19:00,1.0,1,0
2018-11-01 11:30:00,1.0,0,0
2018-11-01 14:20:00,1.0,1,0
2018-11-01 14:25:00,1.0,0,0
2018-11-01 14:54:00,1.0,1,0
2018-11-01 15:07:00,1.0,0,0
2018-11-01 18:39:00,1.0,1,0
2018-11-01 18:42:00,1.0,0,0
2018-11-01 18:44:00,2.0,1,0
2018-11-01 19:00:00,2.0,0,0
2018-11-01 19:15:00,2.0,1,0
2018-11-01 20:25:00,1.0,0,0
2018-11-01 20:38:00,2.0,1,0
2018-11-01 22:32:00,1.0,0,0
2018-11-01 23:18:00,2.0,1,0
2018-11-02 00:14:00,2.0,0,0
2018-11-02 00:55:00,1.0,1,0
2018-11-02 01:00:00,1.0,0,0
2018-11-02 01:01:00,2.0,1,0
2018-11-02 01:04:00,1.0,0,0
2018-11-02 01:28:00,1.0,1,0
2018-11-02 02:20:00,2.0,0,0
2018-11-02 02:21:00,1.0,1,0
2018-11-02 02:33:00,2.0,0,0
2018-11-02 02:57:00,1.0,1,0
2018-11-02 02:59:00,1.0,0,0
2018-11-02 03:02:00,1.0,1,0
2018-11-02 03:10:00,1.0,0,0
2018-11-02 03:22:00,1.0,1,0
2018-11-02 03:23:00,2.0,0,0
2018-11-02 05:13:00,2.0,1,0
2018-11-02 05:16:00,1.0,0,0
2018-11-02 05:21:00,1.0,1,0
2018-11-02 06:09:00,1.0,0,0
2018-11-02 06:53:00,1.0,1,0
2018-11-02 06:56:00,1.0,0,0
2018-11-02 07:01:00,1.0,1,0
2018-11-02 10:08:00,1.0,0,0
2018-11-02 10:22:00,2.0,1,0
2018-11-02 10:33:00,1.0,0,0
2018-11-02 11:35:00,1.0,1,0
2018-11-02 18:54:00,0.0,0,0
2018-11-02 18:58:00,1.0,1,0
2018-11-02 19:03:00,1.0,0,0
2018-11-02 19:10:00,1.0,1,0
2018-11-02 19:27:00,1.0,0,0
2018-11-02 19:31:00,1.0,1,0
2018-11-02 19:33:00,1.0,0,0
2018-11-02 20:25:00,1.0,1,0
2018-11-02 22:26:00,1.0,0,0
