EventTime,Time,NR,A
2018-11-01 00:14:00,3.0,0,0
2018-11-01 00:22:00,3.0,1,0
2018-11-01 05:47:00,3.0,0,0
2018-11-01 05:53:00,3.0,1,0
2018-11-01 07:07:00,3.0,0,0
2018-11-01 07:13:00,3.0,1,0
2018-11-01 08:09:00,3.0,0,0
2018-11-01 08:13:00,3.0,1,0
2018-11-01 09:24:00,2.0,0,0
2018-11-01 09:43:00,2.0,1,0
2018-11-01 16:10:00,3.0,0,0
2018-11-01 16:14:00,3.0,1,0
2018-11-01 16:24:00,2.0,0,0
2018-11-01 16:28:00,3.0,1,0
2018-11-01 17:35:00,3.0,0,0
2018-11-01 17:44:00,3.0,1,0
2018-11-01 22:09:00,2.0,0,0
2018-11-01 22:19:00,4.0,1,0
2018-11-01 23:26:00,3.0,0,0
2018-11-01 23:35:00,3.0,1,0
2018-11-02 00:17:00,3.0,0,0
2018-11-02 00:20:00,3.0,1,0
2018-11-02 08:09:00,3.0,0,0
2018-11-02 08:13:00,3.0,1,0
2018-11-02 09:22:00,3.0,0,0
2018-11-02 09:36:00,4.0,1,0
2018-11-02 16:12:00,3.0,0,0
2018-11-02 16:19:00,3.0,1,0
2018-11-02 16:33:00,3.0,0,0
2018-11-02 16:38:00,3.0,1,0
2018-11-02 17:24:00,3.0,0,0
2018-11-02 17:30:00,3.0,1,0
2018-11-02 17:39:00,3.0,0,0
2018-11-02 17:43:00,3.0,1,0
2018-11-02 18:53:00,3.0,0,0
2018-11-02 19:08:00,3.0,1,0
2018-11-02 20:22:00,3.0,0,0
2018-11-02 20:25:00,3.0,1,0
2018-11-02 21:37:00,3.0,0,0
2018-11-02 21:46:00,3.0,1,0
2018-11-03 07:58:00,3.0,0,0
2018-11-03 08:07:00,3.0,1,0
2018-11-03 14:05:00,3.0,0,0
2018-11-03 14:11:00,3.0,1,0
2018-11-04 13:06:00,3.0,0,0
2018-11-04 13:10:00,3.0,1,0
2018-11-04 20:06:00,3.0,0,0
2018-11-04 20:13:00,4.0,1,0
2018-11-04 20:47:00,2.0,0,0
2018-11-04 20:49:00,4.0,1,0
2018-11-04 20:54:00,2.0,0,0
2018-11-04 20:57:00,4.0,1,0
2018-11-05 08:09:00,3.0,0,0
2018-11-05 08:14:00,3.0,1,0
2018-11-05 09:26:00,2.0,0,0
2018-11-05 09:43:00,3.0,1,0
2018-11-05 16:11:00,3.0,0,0
2018-11-05 16:14:00,4.0,1,0
2018-11-05 16:24:00,3.0,0,0
2018-11-05 16:25:00,3.0,1,0
2018-11-05 17:17:00,3.0,0,0
2018-11-05 17:29:00,3.0,1,0
2018-11-05 20:55:00,3.0,0,0
2018-11-05 21:06:00,3.0,1,0
2018-11-06 06:00:00,3.0,0,0
2018-11-06 06:06:00,3.0,1,0
2018-11-06 08:11:00,2.0,0,0
2018-11-06 08:14:00,3.0,1,0
2018-11-06 09:25:00,3.0,0,0
2018-11-06 09:43:00,3.0,1,0
2018-11-06 16:10:00,3.0,0,0
2018-11-06 16:13:00,3.0,1,0
2018-11-06 16:24:00,3.0,0,0
2018-11-06 16:26:00,3.0,1,0
2018-11-06 17:13:00,3.0,0,0
2018-11-06 17:32:00,3.0,1,0
2018-11-07 08:10:00,3.0,0,0
2018-11-07 08:14:00,3.0,1,0
2018-11-07 08:47:00,3.0,0,0
2018-11-07 08:55:00,3.0,1,0
2018-11-07 09:29:00,3.0,0,0
2018-11-07 09:43:00,3.0,1,0
2018-11-07 16:09:00,3.0,0,0
2018-11-07 16:14:00,3.0,1,0
2018-11-07 16:24:00,3.0,0,0
2018-11-07 16:27:00,3.0,1,0
2018-11-07 17:35:00,3.0,0,0
2018-11-07 17:44:00,3.0,1,0
2018-11-08 08:09:00,3.0,0,0
2018-11-08 08:13:00,3.0,1,0
2018-11-08 09:24:00,2.0,0,0
2018-11-08 09:43:00,3.0,1,0
2018-11-08 16:09:00,2.0,0,0
2018-11-08 16:10:00,3.0,1,0
2018-11-08 16:24:00,2.0,0,0
2018-11-08 16:26:00,3.0,1,0
2018-11-10 04:49:00,3.0,0,0
2018-11-10 04:53:00,4.0,1,0
2018-11-10 05:47:00,3.0,0,0
2018-11-10 05:50:00,3.0,1,0
2018-11-10 06:53:00,2.0,0,0
2018-11-10 06:55:00,3.0,1,0
2018-11-10 07:51:00,3.0,0,0
2018-11-10 07:56:00,4.0,1,0
2018-11-10 08:32:00,2.0,0,0
2018-11-10 08:35:00,3.0,1,0
2018-11-10 09:06:00,3.0,0,0
2018-11-10 09:10:00,3.0,1,0
2018-11-10 09:40:00,3.0,0,0
2018-11-10 09:41:00,3.0,1,0
2018-11-10 10:05:00,3.0,0,0
2018-11-10 10:12:00,3.0,1,0
2018-11-10 10:35:00,2.0,0,0
2018-11-10 10:41:00,3.0,1,0
2018-11-10 11:05:00,3.0,0,0
2018-11-10 11:12:00,3.0,1,0
2018-11-10 11:35:00,3.0,0,0
2018-11-10 11:44:00,3.0,1,0
2018-11-10 12:05:00,3.0,0,0
2018-11-10 12:09:00,3.0,1,0
2018-11-10 12:36:00,2.0,0,0
2018-11-10 12:41:00,3.0,1,0
2018-11-10 13:05:00,3.0,0,0
2018-11-10 13:09:00,3.0,1,0
2018-11-10 13:35:00,2.0,0,0
2018-11-10 13:41:00,4.0,1,0
2018-11-10 14:05:00,2.0,0,0
2018-11-10 14:10:00,3.0,1,0
2018-11-10 14:35:00,3.0,0,0
2018-11-10 14:42:00,3.0,1,0
2018-11-10 15:05:00,2.0,0,0
2018-11-10 15:13:00,3.0,1,0
2018-11-10 15:35:00,2.0,0,0
2018-11-10 15:41:00,3.0,1,0
2018-11-10 16:02:00,2.0,0,0
2018-11-10 16:04:00,3.0,1,0
2018-11-10 16:35:00,3.0,0,0
2018-11-10 16:41:00,3.0,1,0
2018-11-10 17:05:00,3.0,0,0
2018-11-10 17:10:00,3.0,1,0
2018-11-10 17:34:00,3.0,0,0
2018-11-10 17:41:00,3.0,1,0
2018-11-10 18:02:00,3.0,0,0
2018-11-10 18:05:00,3.0,1,0
2018-11-10 18:35:00,3.0,0,0
2018-11-10 18:40:00,3.0,1,0
2018-11-10 19:05:00,2.0,0,0
2018-11-10 19:13:00,3.0,1,0
2018-11-10 19:36:00,3.0,0,0
2018-11-10 19:41:00,3.0,1,0
2018-11-10 20:05:00,3.0,0,0
2018-11-10 20:10:00,3.0,1,0
2018-11-10 20:35:00,3.0,0,0
2018-11-10 20:36:00,3.0,1,0
2018-11-10 21:06:00,2.0,0,0
2018-11-10 21:09:00,3.0,1,0
2018-11-10 21:35:00,3.0,0,0
2018-11-10 21:41:00,4.0,1,0
2018-11-10 22:20:00,2.0,0,0
2018-11-10 22:25:00,4.0,1,0
2018-11-10 23:20:00,3.0,0,0
2018-11-10 23:22:00,3.0,1,0
2018-11-11 00:20:00,3.0,0,0
2018-11-11 00:25:00,3.0,1,0
2018-11-11 01:21:00,3.0,0,0
2018-11-11 01:27:00,3.0,1,0
2018-11-11 04:49:00,3.0,0,0
2018-11-11 04:53:00,3.0,1,0
2018-11-11 05:47:00,3.0,0,0
2018-11-11 05:50:00,3.0,1,0
2018-11-11 06:53:00,3.0,0,0
2018-11-11 07:02:00,3.0,1,0
2018-11-11 07:51:00,3.0,0,0
2018-11-11 07:57:00,4.0,1,0
2018-11-11 08:32:00,3.0,0,0
2018-11-11 08:35:00,3.0,1,0
2018-11-11 09:05:00,2.0,0,0
2018-11-11 09:09:00,3.0,1,0
2018-11-11 09:41:00,3.0,0,0
2018-11-11 09:43:00,3.0,1,0
2018-11-11 10:05:00,3.0,0,0
2018-11-11 10:10:00,3.0,1,0
2018-11-11 11:05:00,3.0,0,0
2018-11-11 11:11:00,3.0,1,0
2018-11-11 11:35:00,2.0,0,0
2018-11-11 11:44:00,3.0,1,0
2018-11-11 12:05:00,3.0,0,0
2018-11-11 12:10:00,3.0,1,0
2018-11-11 12:36:00,3.0,0,0
2018-11-11 12:41:00,4.0,1,0
2018-11-11 13:05:00,3.0,0,0
2018-11-11 13:08:00,3.0,1,0
2018-11-11 13:36:00,3.0,0,0
2018-11-11 13:43:00,3.0,1,0
2018-11-11 14:01:00,3.0,0,0
2018-11-11 14:03:00,3.0,1,0
2018-11-11 14:35:00,2.0,0,0
2018-11-11 14:41:00,3.0,1,0
2018-11-11 15:05:00,3.0,0,0
2018-11-11 15:10:00,3.0,1,0
2018-11-11 15:35:00,2.0,0,0
2018-11-11 15:41:00,3.0,1,0
2018-11-11 16:01:00,3.0,0,0
2018-11-11 16:04:00,3.0,1,0
2018-11-11 16:35:00,3.0,0,0
2018-11-11 16:41:00,3.0,1,0
2018-11-11 17:05:00,3.0,0,0
2018-11-11 17:11:00,4.0,1,0
2018-11-11 17:35:00,3.0,0,0
2018-11-11 17:40:00,3.0,1,0
2018-11-11 18:05:00,3.0,0,0
2018-11-11 18:09:00,3.0,1,0
2018-11-11 18:35:00,2.0,0,0
2018-11-11 18:42:00,3.0,1,0
2018-11-11 19:08:00,3.0,0,0
2018-11-11 19:11:00,3.0,1,0
2018-11-11 22:50:00,3.0,0,0
2018-11-11 22:56:00,4.0,1,0
2018-11-11 23:53:00,3.0,0,0
2018-11-12 00:02:00,4.0,1,0
2018-11-12 08:25:00,3.0,0,0
2018-11-12 08:44:00,3.0,1,0
2018-11-12 09:27:00,3.0,0,0
2018-11-12 09:43:00,3.0,1,0
2018-11-12 16:09:00,2.0,0,0
2018-11-12 16:14:00,3.0,1,0
2018-11-12 16:24:00,3.0,0,0
2018-11-12 16:26:00,3.0,1,0
2018-11-12 22:50:00,3.0,0,0
2018-11-12 23:01:00,3.0,1,0
