EventTime,Time,NR,A
2018-11-05 03:39:00,8.0,0,0
2018-11-05 03:40:00,8.0,1,0
2018-11-05 03:41:00,9.0,0,0
2018-11-05 03:41:00,8.0,1,0
2018-11-05 03:44:00,8.0,0,0
2018-11-05 03:46:00,8.0,1,0
2018-11-05 16:04:00,8.0,0,0
2018-11-05 16:06:00,7.0,1,0
2018-11-05 22:25:00,8.0,0,0
2018-11-05 22:28:00,7.0,1,0
2018-11-06 16:02:00,8.0,0,0
2018-11-06 16:04:00,8.0,1,0
2018-11-06 18:25:00,7.0,0,0
2018-11-06 18:27:00,8.0,1,0
2018-11-06 22:24:00,8.0,0,0
2018-11-06 22:28:00,8.0,1,0
2018-11-07 03:40:00,8.0,0,0
2018-11-07 03:41:00,8.0,1,0
2018-11-07 16:03:00,7.0,0,0
2018-11-07 16:05:00,7.0,1,0
2018-11-07 21:31:00,9.0,0,0
2018-11-07 21:33:00,8.0,1,0
2018-11-07 21:39:00,8.0,0,0
2018-11-07 21:49:00,8.0,1,0
2018-11-07 22:06:00,8.0,0,0
2018-11-07 22:19:00,8.0,1,0
2018-11-07 22:24:00,8.0,0,0
2018-11-07 22:29:00,8.0,1,0
2018-11-07 23:04:00,8.0,0,0
2018-11-07 23:07:00,8.0,1,0
2018-11-07 23:10:00,8.0,0,0
2018-11-07 23:12:00,7.0,1,0
2018-11-07 23:21:00,8.0,0,0
2018-11-07 23:28:00,8.0,1,0
2018-11-08 00:05:00,9.0,0,0
2018-11-08 00:07:00,6.0,1,0
2018-11-08 00:36:00,7.0,0,0
2018-11-08 01:14:00,7.0,1,0
2018-11-08 02:02:00,8.0,0,0
2018-11-08 03:39:00,8.0,1,0
2018-11-08 16:02:00,8.0,0,0
2018-11-08 16:04:00,7.0,1,0
2018-11-08 18:12:00,8.0,0,0
2018-11-08 18:14:00,8.0,1,0
2018-11-08 20:47:00,8.0,0,0
2018-11-08 20:50:00,6.0,1,0
2018-11-08 21:33:00,8.0,0,0
2018-11-08 21:35:00,7.0,1,0
2018-11-08 21:39:00,8.0,0,0
2018-11-08 21:42:00,8.0,1,0
2018-11-08 21:45:00,7.0,0,0
2018-11-08 21:48:00,7.0,1,0
2018-11-08 22:06:00,8.0,0,0
2018-11-08 22:11:00,7.0,1,0
2018-11-08 22:14:00,8.0,0,0
2018-11-08 22:19:00,6.0,1,0
2018-11-08 22:31:00,8.0,0,0
2018-11-08 22:33:00,7.0,1,0
2018-11-08 23:05:00,8.0,0,0
2018-11-08 23:08:00,7.0,1,0
2018-11-08 23:25:00,8.0,0,0
2018-11-08 23:33:00,6.0,1,0
2018-11-09 00:03:00,8.0,0,0
2018-11-09 00:06:00,7.0,1,0
2018-11-09 00:24:00,8.0,0,0
2018-11-09 00:39:00,7.0,1,0
2018-11-09 01:28:00,8.0,0,0
2018-11-09 01:32:00,7.0,1,0
2018-11-09 16:03:00,8.0,0,0
2018-11-09 16:04:00,8.0,1,0
2018-11-09 22:26:00,8.0,0,0
2018-11-09 22:29:00,7.0,1,0
2018-11-10 03:21:00,8.0,0,0
2018-11-10 03:25:00,6.0,1,0
2018-11-10 09:34:00,9.0,0,0
2018-11-10 09:36:00,7.0,1,0
2018-11-10 10:12:00,8.0,0,0
2018-11-10 10:15:00,8.0,1,0
2018-11-10 17:02:00,8.0,0,0
2018-11-10 17:03:00,8.0,1,0
2018-11-11 03:30:00,7.0,0,0
2018-11-11 03:35:00,6.0,1,0
2018-11-11 10:04:00,7.0,0,0
2018-11-11 10:05:00,8.0,1,0
2018-11-11 20:46:00,8.0,0,0
2018-11-11 20:50:00,7.0,1,0
2018-11-12 03:37:00,8.0,0,0
2018-11-12 03:42:00,8.0,1,0
2018-11-12 11:35:00,8.0,0,0
2018-11-12 11:38:00,8.0,1,0
2018-11-12 16:03:00,8.0,0,0
2018-11-12 16:06:00,8.0,1,0
2018-11-12 22:26:00,8.0,0,0
2018-11-12 22:29:00,6.0,1,0
2018-11-13 03:17:00,8.0,0,0
2018-11-13 03:34:00,7.0,1,0
2018-11-13 11:16:00,8.0,0,0
2018-11-13 11:17:00,8.0,1,0
2018-11-13 16:03:00,8.0,0,0
2018-11-13 16:06:00,8.0,1,0
2018-11-13 22:26:00,8.0,0,0
2018-11-13 22:29:00,7.0,1,0
2018-11-14 01:02:00,8.0,0,0
2018-11-14 01:05:00,7.0,1,0
2018-11-14 16:04:00,8.0,0,0
2018-11-14 16:05:00,8.0,1,0
2018-11-14 22:26:00,8.0,0,0
2018-11-14 22:28:00,7.0,1,0
2018-11-16 00:02:00,8.0,0,0
2018-11-16 00:07:00,7.0,1,0
2018-11-16 11:33:00,8.0,0,0
2018-11-16 11:35:00,7.0,1,0
2018-11-16 16:03:00,9.0,0,0
2018-11-16 16:05:00,7.0,1,0
2018-11-16 22:26:00,8.0,0,0
2018-11-16 22:29:00,7.0,1,0
2018-11-16 23:26:00,8.0,0,0
2018-11-16 23:30:00,7.0,1,0
2018-11-17 13:57:00,8.0,0,0
2018-11-17 14:03:00,8.0,1,0
2018-11-17 14:09:00,8.0,0,0
2018-11-17 14:16:00,7.0,1,0
2018-11-17 14:28:00,8.0,0,0
2018-11-17 14:31:00,7.0,1,0
2018-11-17 14:33:00,9.0,0,0
2018-11-17 14:36:00,7.0,1,0
2018-11-17 14:46:00,8.0,0,0
2018-11-17 14:51:00,7.0,1,0
2018-11-17 14:53:00,8.0,0,0
2018-11-17 15:01:00,7.0,1,0
2018-11-17 15:09:00,8.0,0,0
2018-11-17 15:16:00,7.0,1,0
2018-11-17 15:28:00,8.0,0,0
2018-11-17 15:32:00,7.0,1,0
2018-11-17 15:42:00,7.0,0,0
2018-11-17 15:46:00,7.0,1,0
2018-11-17 15:58:00,8.0,0,0
2018-11-17 16:03:00,7.0,1,0
2018-11-17 16:16:00,8.0,0,0
2018-11-17 16:17:00,7.0,1,0
2018-11-17 16:27:00,8.0,0,0
2018-11-17 16:30:00,7.0,1,0
2018-11-17 16:40:00,8.0,0,0
2018-11-17 16:46:00,7.0,1,0
2018-11-17 16:58:00,8.0,0,0
2018-11-17 17:01:00,7.0,1,0
2018-11-17 17:17:00,8.0,0,0
2018-11-17 17:19:00,7.0,1,0
2018-11-17 17:28:00,8.0,0,0
2018-11-17 17:31:00,7.0,1,0
2018-11-17 17:39:00,7.0,0,0
2018-11-17 17:48:00,7.0,1,0
2018-11-17 18:00:00,7.0,0,0
2018-11-17 18:02:00,7.0,1,0
2018-11-17 18:11:00,8.0,0,0
2018-11-17 18:17:00,7.0,1,0
2018-11-17 18:29:00,8.0,0,0
2018-11-17 18:31:00,7.0,1,0
2018-11-17 18:44:00,8.0,0,0
2018-11-17 18:47:00,7.0,1,0
2018-11-17 18:56:00,8.0,0,0
2018-11-17 19:03:00,7.0,1,0
2018-11-17 19:16:00,8.0,0,0
2018-11-17 19:20:00,7.0,1,0
2018-11-17 19:29:00,8.0,0,0
2018-11-17 19:31:00,7.0,1,0
2018-11-17 19:40:00,8.0,0,0
2018-11-17 19:47:00,7.0,1,0
2018-11-17 20:27:00,8.0,0,0
2018-11-17 20:30:00,7.0,1,0
2018-11-18 22:40:00,7.0,0,0
2018-11-18 22:45:00,8.0,1,0
2018-11-18 23:03:00,8.0,0,0
2018-11-18 23:09:00,8.0,1,0
2018-11-19 11:13:00,8.0,0,0
2018-11-19 11:15:00,8.0,1,0
2018-11-19 16:02:00,8.0,0,0
2018-11-19 16:07:00,8.0,1,0
2018-11-19 22:27:00,8.0,0,0
2018-11-19 22:30:00,7.0,1,0
2018-11-19 23:54:00,8.0,0,0
2018-11-20 11:12:00,8.0,0,0
2018-11-20 11:15:00,8.0,1,0
2018-11-20 16:03:00,8.0,0,0
2018-11-20 16:04:00,8.0,1,0
2018-11-20 16:16:00,7.0,0,0
2018-11-20 16:18:00,8.0,1,0
2018-11-20 16:32:00,8.0,0,0
2018-11-20 16:34:00,7.0,1,0
2018-11-20 22:26:00,8.0,0,0
2018-11-20 22:33:00,8.0,1,0
2018-11-21 16:03:00,8.0,0,0
2018-11-21 16:06:00,7.0,1,0
2018-11-21 16:19:00,8.0,0,0
2018-11-21 16:21:00,8.0,1,0
2018-11-21 21:57:00,8.0,0,0
2018-11-21 21:59:00,7.0,1,0
2018-11-21 22:25:00,8.0,0,0
2018-11-21 22:30:00,8.0,1,0
2018-11-22 16:03:00,8.0,0,0
2018-11-22 16:05:00,7.0,1,0
2018-11-22 21:34:00,7.0,0,0
2018-11-22 21:37:00,8.0,1,0
2018-11-22 22:25:00,8.0,0,0
2018-11-22 22:28:00,8.0,1,0
2018-11-23 11:47:00,8.0,0,0
2018-11-23 11:50:00,8.0,1,0
2018-11-24 08:35:00,7.0,0,0
2018-11-24 08:36:00,8.0,1,0
2018-11-24 12:50:00,7.0,0,0
2018-11-24 12:53:00,8.0,1,0
2018-11-25 04:54:00,8.0,0,0
2018-11-25 04:57:00,7.0,1,0
2018-11-26 00:47:00,7.0,0,0
2018-11-26 00:57:00,7.0,1,0
2018-11-26 03:09:00,8.0,0,0
2018-11-26 03:25:00,7.0,1,0
2018-11-26 03:28:00,8.0,0,0
2018-11-26 03:33:00,7.0,1,0
2018-11-26 12:46:00,8.0,0,0
2018-11-26 12:48:00,8.0,1,0
2018-11-26 22:24:00,7.0,0,0
2018-11-26 22:28:00,8.0,1,0
2018-11-27 00:18:00,8.0,0,0
2018-11-27 00:41:00,8.0,1,0
2018-11-27 01:42:00,8.0,0,0
2018-11-27 03:30:00,8.0,1,0
2018-11-27 16:04:00,8.0,0,0
2018-11-27 16:06:00,8.0,1,0
2018-11-28 00:18:00,8.0,0,0
2018-11-28 00:25:00,7.0,1,0
2018-11-29 15:18:00,8.0,0,0
2018-11-29 15:20:00,8.0,1,0
2018-11-29 16:04:00,8.0,0,0
2018-11-29 16:05:00,8.0,1,0
2018-11-29 22:04:00,8.0,0,0
2018-11-29 22:05:00,7.0,1,0
2018-11-29 22:24:00,8.0,0,0
2018-11-29 22:26:00,7.0,1,0
2018-11-04 02:21:19,0.1,2,1
2018-11-04 02:22:19,0.1,2,1
2018-11-04 03:00:46,0.1,2,1
2018-11-04 03:00:51,0.1,2,1
2018-11-04 03:16:40,0.1,2,1
2018-11-04 03:17:02,0.1,2,1
2018-11-04 03:36:51,0.1,2,1
2018-11-04 03:52:02,0.1,2,1
2018-11-04 03:58:31,0.1,2,1
2018-11-04 03:58:36,0.1,2,1
2018-11-04 04:05:18,0.1,2,1
2018-11-04 04:05:23,0.1,2,1
2018-11-20 00:59:51,0.1,2,1
2018-11-20 00:59:55,0.1,2,1
2018-11-20 01:11:41,0.1,2,1
2018-11-20 01:11:45,0.1,2,1
