EventTime,Time,NR,A
2018-11-05 18:17:00,5.0,0,0
2018-11-05 21:25:00,6.0,1,0
2018-11-05 21:45:00,5.0,0,0
2018-11-05 21:48:00,6.0,1,0
2018-11-05 22:42:00,6.0,0,0
2018-11-06 00:13:00,5.0,1,0
2018-11-06 00:23:00,6.0,0,0
2018-11-06 00:43:00,6.0,1,0
2018-11-06 09:55:00,6.0,0,0
2018-11-06 12:38:00,6.0,1,0
2018-11-06 15:14:00,5.0,0,0
2018-11-06 15:27:00,6.0,1,0
2018-11-06 22:17:00,5.0,0,0
2018-11-06 23:51:00,6.0,1,0
2018-11-07 00:16:00,5.0,0,0
2018-11-07 00:53:00,5.0,1,0
2018-11-07 04:16:00,5.0,0,0
2018-11-07 04:28:00,5.0,1,0
2018-11-07 09:37:00,6.0,0,0
2018-11-07 10:29:00,5.0,1,0
2018-11-07 11:39:00,6.0,0,0
2018-11-07 14:30:00,6.0,1,0
2018-11-07 15:25:00,5.0,0,0
2018-11-07 15:31:00,5.0,1,0
2018-11-07 21:21:00,6.0,0,0
2018-11-08 01:39:00,6.0,1,0
2018-11-08 08:40:00,5.0,0,0
2018-11-08 10:37:00,6.0,1,0
2018-11-08 15:27:00,6.0,0,0
2018-11-08 15:34:00,6.0,1,0
2018-11-08 21:33:00,6.0,0,0
2018-11-08 21:45:00,6.0,1,0
2018-11-08 22:40:00,5.0,0,0
2018-11-09 00:27:00,6.0,1,0
2018-11-09 04:20:00,6.0,0,0
2018-11-09 04:30:00,6.0,1,0
2018-11-09 05:41:00,5.0,0,0
2018-11-09 06:53:00,6.0,1,0
2018-11-09 07:14:00,5.0,0,0
2018-11-09 14:17:00,5.0,1,0
2018-11-09 15:04:00,5.0,0,0
2018-11-09 15:17:00,6.0,1,0
2018-11-09 15:24:00,6.0,0,0
2018-11-09 15:30:00,6.0,1,0
2018-11-09 15:35:00,5.0,0,0
2018-11-09 15:43:00,6.0,1,0
2018-11-09 23:56:00,5.0,0,0
2018-11-10 00:17:00,6.0,1,0
2018-11-10 09:18:00,5.0,0,0
2018-11-10 09:35:00,6.0,1,0
2018-11-10 09:35:00,6.0,0,0
2018-11-10 16:16:00,6.0,1,0
2018-11-10 19:51:00,5.0,0,0
2018-11-10 19:53:00,6.0,1,0
2018-11-10 19:57:00,6.0,0,0
2018-11-11 02:13:00,6.0,1,0
2018-11-11 09:33:00,5.0,0,0
2018-11-11 15:58:00,5.0,1,0
2018-11-11 19:25:00,5.0,0,0
2018-11-12 02:06:00,6.0,1,0
2018-11-12 04:17:00,5.0,0,0
2018-11-12 04:30:00,5.0,1,0
2018-11-12 05:41:00,5.0,0,0
2018-11-12 12:34:00,5.0,1,0
2018-11-12 15:28:00,6.0,0,0
2018-11-12 15:32:00,5.0,1,0
2018-11-12 22:43:00,6.0,0,0
2018-11-12 23:50:00,6.0,1,0
2018-11-13 04:56:00,6.0,0,0
2018-11-13 05:04:00,6.0,1,0
2018-11-13 05:38:00,6.0,0,0
2018-11-13 11:09:00,6.0,1,0
2018-11-13 11:21:00,5.0,0,0
2018-11-13 12:52:00,6.0,1,0
2018-11-13 15:24:00,6.0,0,0
2018-11-13 15:31:00,5.0,1,0
2018-11-13 22:44:00,6.0,0,0
2018-11-13 23:56:00,5.0,1,0
2018-11-14 00:20:00,5.0,0,0
2018-11-14 03:49:00,6.0,1,0
2018-11-14 04:14:00,6.0,0,0
2018-11-14 04:27:00,6.0,1,0
2018-11-14 04:56:00,6.0,0,0
2018-11-14 05:08:00,6.0,1,0
