Operation time,Number of operations,Rail point,c2_,c3_,c4_,c5_,sd_,alarms,c3a_,c3ao_
2.46,325.0,Strathfield:ST616,cluster 0,cluster 0,cluster 2,cluster 4,2.0,4.0,cluster 0,cluster 0
2.8,198.0,Strathfield:ST617,cluster 0,cluster 0,cluster 0,cluster 0,2.0,7.0,cluster 0,cluster 0
4.04,874.0,Strathfield:ST618,cluster 1,cluster 1,cluster 1,cluster 1,2.0,7.0,cluster 0,cluster 0
3.64,146.0,Strathfield:ST619,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
4.52,40.0,Strathfield:TH51,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
4.9,741.0,Strathfield:TH52,cluster 1,cluster 1,cluster 2,cluster 4,2.0,0.0,cluster 0,cluster 0
4.56,39.0,Strathfield:TH55,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
4.32,1021.0,Strathfield:WR101,cluster 1,cluster 1,cluster 1,cluster 1,2.0,8.0,cluster 0,cluster 0
5.8,1172.0,Strathfield:WR123,cluster 1,cluster 1,cluster 1,cluster 1,2.0,0.0,cluster 0,cluster 0
2.55,387.0,Sydney:SY152,cluster 0,cluster 0,cluster 2,cluster 4,2.0,0.0,cluster 0,cluster 0
3.16,418.0,Sydney:SY156,cluster 0,cluster 0,cluster 2,cluster 4,2.0,7.0,cluster 0,cluster 0
2.55,462.0,Sydney:SY157,cluster 0,cluster 0,cluster 2,cluster 4,2.0,4.0,cluster 0,cluster 0
2.81,264.0,Sydney:SY158,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
3.06,529.0,Sydney:SY160,cluster 0,cluster 1,cluster 2,cluster 4,2.0,4.0,cluster 0,cluster 0
2.43,146.0,Sydney:SY161,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
3.91,171.0,Sydney:SY162,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
3.38,434.0,Sydney:SY166,cluster 0,cluster 0,cluster 2,cluster 4,2.0,4.0,cluster 0,cluster 0
5.56,79.0,Sydney:SY174,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
4.18,911.0,Sydney:SY182,cluster 1,cluster 1,cluster 1,cluster 1,2.0,4.0,cluster 0,cluster 0
3.79,639.0,Sydney:SY183,cluster 0,cluster 1,cluster 2,cluster 4,2.0,4.0,cluster 0,cluster 0
4.1,60.0,Sydney:SY184,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
3.32,708.0,Sydney:SY192,cluster 1,cluster 1,cluster 2,cluster 4,2.0,12.0,cluster 0,cluster 0
2.48,346.0,Sydney:SY193,cluster 0,cluster 0,cluster 2,cluster 4,2.0,20.0,cluster 0,cluster 0
2.98,834.0,Sydney:SY194,cluster 1,cluster 1,cluster 1,cluster 1,2.0,12.0,cluster 0,cluster 0
3.44,467.0,Sydney:SY197,cluster 0,cluster 0,cluster 2,cluster 4,2.0,4.0,cluster 0,cluster 0
2.57,818.0,Sydney:SY198,cluster 1,cluster 1,cluster 1,cluster 1,2.0,8.0,cluster 0,cluster 0
2.31,220.0,Sydney:SY200,cluster 0,cluster 0,cluster 0,cluster 0,2.0,58.0,cluster 2,cluster 0
2.11,830.0,Sydney:SY202,cluster 1,cluster 1,cluster 1,cluster 1,2.0,12.0,cluster 0,cluster 0
3.1,232.0,Sydney:SY203,cluster 0,cluster 0,cluster 0,cluster 0,2.0,65.0,cluster 2,cluster 0
2.77,573.0,Sydney:SY204,cluster 0,cluster 1,cluster 2,cluster 4,2.0,31.0,cluster 2,cluster 0
3.8,205.0,Sydney:SY211,cluster 0,cluster 0,cluster 0,cluster 0,2.0,12.0,cluster 0,cluster 0
2.0,531.0,Sydney:SY224,cluster 0,cluster 1,cluster 2,cluster 4,2.0,4.0,cluster 0,cluster 0
4.18,392.0,Sydney:SY234,cluster 0,cluster 0,cluster 2,cluster 4,2.0,6.0,cluster 0,cluster 0
4.89,1266.0,Sydney:SY235,cluster 1,cluster 1,cluster 1,cluster 1,2.0,16.0,cluster 0,cluster 0
5.11,121.0,Sydney:SY236,cluster 0,cluster 0,cluster 0,cluster 0,2.0,10.0,cluster 0,cluster 0
3.4,415.0,Sydney:SY237,cluster 0,cluster 0,cluster 2,cluster 4,2.0,12.0,cluster 0,cluster 0
3.72,435.0,Sydney:SY238,cluster 0,cluster 0,cluster 2,cluster 4,2.0,12.0,cluster 0,cluster 0
4.56,873.0,Sydney:SY239,cluster 1,cluster 1,cluster 1,cluster 1,2.0,12.0,cluster 0,cluster 0
4.16,613.0,Sydney:SY240,cluster 0,cluster 1,cluster 2,cluster 4,2.0,12.0,cluster 0,cluster 0
3.59,952.0,Sydney:SY241,cluster 1,cluster 1,cluster 1,cluster 1,2.0,37.0,cluster 2,cluster 0
3.15,615.0,Sydney:SY242,cluster 0,cluster 1,cluster 2,cluster 4,2.0,8.0,cluster 0,cluster 0
3.53,472.0,Sydney:SY243,cluster 0,cluster 0,cluster 2,cluster 4,2.0,12.0,cluster 0,cluster 0
2.41,668.0,Sydney:SY244,cluster 0,cluster 1,cluster 2,cluster 4,2.0,12.0,cluster 0,cluster 0
3.35,1458.0,Sydney:SY247,cluster 1,cluster 2,cluster 1,cluster 3,2.0,12.0,cluster 0,cluster 0
4.26,895.0,Sydney:SY249,cluster 1,cluster 1,cluster 1,cluster 1,2.0,4.0,cluster 0,cluster 0
5.4,45.0,Sydney:SY258,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
2.68,59.0,Sydney:SY260,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
3.33,718.0,Sydney:SY264,cluster 1,cluster 1,cluster 2,cluster 4,2.0,8.0,cluster 0,cluster 0
