EventTime,Time,NR,A
2018-11-01 06:03:00,4.0,1,0
2018-11-01 06:42:00,3.0,0,0
2018-11-01 07:04:00,4.0,1,0
2018-11-01 07:11:00,3.0,0,0
2018-11-01 07:13:00,3.0,1,0
2018-11-01 08:32:00,4.0,0,0
2018-11-01 08:34:00,4.0,1,0
2018-11-01 08:55:00,4.0,0,0
2018-11-01 09:04:00,5.0,1,0
2018-11-01 09:05:00,4.0,0,0
2018-11-01 09:10:00,4.0,1,0
2018-11-01 09:13:00,4.0,0,0
2018-11-01 09:46:00,4.0,1,0
2018-11-01 10:17:00,4.0,0,0
2018-11-01 10:34:00,4.0,1,0
2018-11-01 10:41:00,4.0,0,0
2018-11-01 11:06:00,4.0,1,0
2018-11-01 18:40:00,4.0,0,0
2018-11-01 19:02:00,4.0,1,0
2018-11-01 19:14:00,4.0,0,0
2018-11-01 19:32:00,4.0,1,0
2018-11-01 19:47:00,4.0,0,0
2018-11-01 20:03:00,4.0,1,0
2018-11-01 21:20:00,3.0,0,0
2018-11-01 21:35:00,5.0,1,0
2018-11-01 21:45:00,4.0,0,0
2018-11-01 22:08:00,4.0,1,0
2018-11-01 22:17:00,4.0,0,0
2018-11-01 22:37:00,4.0,1,0
2018-11-01 22:48:00,4.0,0,0
2018-11-01 22:59:00,5.0,1,0
2018-11-01 23:50:00,4.0,0,0
2018-11-02 06:02:00,3.0,1,0
2018-11-02 06:44:00,3.0,0,0
2018-11-02 07:03:00,4.0,1,0
2018-11-02 07:12:00,3.0,0,0
2018-11-02 07:14:00,5.0,1,0
2018-11-02 08:32:00,3.0,0,0
2018-11-02 08:34:00,3.0,1,0
2018-11-02 08:42:00,4.0,0,0
2018-11-02 09:03:00,5.0,1,0
2018-11-02 09:11:00,3.0,0,0
2018-11-02 09:33:00,4.0,1,0
2018-11-02 09:40:00,3.0,0,0
2018-11-02 09:58:00,4.0,1,0
2018-11-02 10:15:00,4.0,0,0
2018-11-02 10:36:00,4.0,1,0
2018-11-02 10:40:00,4.0,0,0
2018-11-02 11:03:00,4.0,1,0
2018-11-02 13:12:00,4.0,0,0
2018-11-02 13:31:00,3.0,1,0
2018-11-02 14:53:00,3.0,0,0
2018-11-02 15:03:00,4.0,1,0
2018-11-02 15:16:00,4.0,0,0
2018-11-02 15:33:00,4.0,1,0
2018-11-02 15:39:00,3.0,0,0
2018-11-02 16:05:00,3.0,1,0
2018-11-02 16:15:00,4.0,0,0
2018-11-02 16:33:00,3.0,1,0
2018-11-02 16:40:00,4.0,0,0
2018-11-02 17:04:00,4.0,1,0
2018-11-02 17:10:00,3.0,0,0
2018-11-02 17:31:00,4.0,1,0
2018-11-02 18:49:00,3.0,0,0
2018-11-02 18:58:00,3.0,1,0
