EventTime,Time,NR,A
2018-11-01 12:34:00,6.0,0,0
2018-11-01 12:36:00,7.0,1,0
2018-11-01 19:38:00,7.0,0,0
2018-11-01 19:41:00,7.0,1,0
2018-11-02 12:35:00,7.0,0,0
2018-11-02 12:39:00,7.0,1,0
2018-11-02 18:05:00,7.0,0,0
2018-11-02 18:07:00,6.0,1,0
2018-11-02 18:54:00,6.0,0,0
2018-11-02 18:56:00,6.0,1,0
2018-11-03 20:57:00,7.0,0,0
2018-11-03 21:06:00,6.0,1,0
2018-11-04 14:38:00,7.0,0,0
2018-11-04 14:38:00,7.0,1,0
2018-11-05 12:42:00,7.0,0,0
2018-11-05 12:43:00,6.0,1,0
2018-11-06 12:36:00,6.0,0,0
2018-11-06 12:38:00,7.0,1,0
2018-11-07 12:38:00,7.0,0,0
2018-11-07 12:40:00,7.0,1,0
2018-11-08 12:35:00,6.0,0,0
2018-11-08 12:38:00,6.0,1,0
2018-11-09 19:45:00,7.0,0,0
2018-11-09 19:51:00,6.0,1,0
2018-11-10 19:58:00,6.0,0,0
2018-11-10 20:22:00,6.0,1,0
2018-11-11 14:00:00,6.0,0,0
2018-11-11 14:19:00,7.0,1,0
2018-11-12 12:34:00,6.0,0,0
2018-11-12 12:43:00,6.0,1,0
2018-11-13 12:34:00,7.0,0,0
2018-11-13 12:37:00,6.0,1,0
2018-11-14 12:35:00,7.0,0,0
2018-11-14 12:37:00,7.0,1,0
2018-11-15 12:39:00,6.0,0,0
2018-11-15 12:42:00,6.0,1,0
2018-11-15 22:01:00,7.0,0,0
2018-11-15 22:19:00,6.0,1,0
2018-11-16 12:36:00,6.0,0,0
2018-11-16 12:43:00,6.0,1,0
2018-11-19 12:37:00,6.0,0,0
2018-11-19 12:42:00,6.0,1,0
2018-11-20 12:37:00,6.0,0,0
2018-11-20 12:42:00,6.0,1,0
2018-11-21 12:35:00,6.0,0,0
2018-11-21 12:38:00,6.0,1,0
2018-11-22 12:34:00,7.0,0,0
2018-11-22 12:39:00,7.0,1,0
2018-11-23 12:37:00,6.0,0,0
2018-11-23 12:42:00,7.0,1,0
2018-11-23 15:08:00,6.0,0,0
2018-11-23 15:09:00,6.0,1,0
2018-11-25 13:58:00,7.0,0,0
2018-11-25 14:05:00,7.0,1,0
2018-11-26 12:37:00,6.0,0,0
2018-11-26 12:40:00,6.0,1,0
2018-11-28 12:35:00,7.0,0,0
2018-11-28 12:42:00,7.0,1,0
2018-11-29 12:40:00,6.0,0,0
2018-11-29 12:43:00,7.0,1,0
2018-11-01 11:51:39,0.1,2,1
2018-11-01 11:53:00,0.1,2,1
2018-11-01 12:10:56,0.1,2,1
2018-11-01 13:20:44,0.1,2,1
2018-11-23 14:02:34,0.1,2,1
2018-11-23 14:02:53,0.1,2,1
2018-11-23 14:06:02,0.1,2,1
2018-11-23 14:06:49,0.1,2,1
2018-11-23 14:06:55,0.1,2,1
2018-11-23 14:16:54,0.1,2,1
2018-11-23 14:16:55,0.1,2,1
2018-11-23 14:20:46,0.1,2,1
2018-11-23 14:20:52,0.1,2,1
2018-11-23 14:29:50,0.1,2,1
2018-11-23 14:30:46,0.1,2,1
2018-11-23 14:30:50,0.1,2,1
2018-11-23 14:30:56,0.1,2,1
2018-11-23 14:46:34,0.1,2,1
2018-11-23 14:46:35,0.1,2,1
