EventTime,Time,NR,A
2018-11-01 00:29:00,2.0,1,0
2018-11-01 00:58:00,2.0,0,0
2018-11-01 04:01:00,2.0,1,0
2018-11-01 04:11:00,2.0,0,0
2018-11-01 04:19:00,2.0,1,0
2018-11-01 05:07:00,2.0,0,0
2018-11-01 06:13:00,3.0,1,0
2018-11-01 09:03:00,2.0,0,0
2018-11-01 09:31:00,2.0,1,0
2018-11-01 09:56:00,1.0,0,0
2018-11-01 16:10:00,2.0,1,0
2018-11-01 17:05:00,2.0,0,0
2018-11-01 17:09:00,2.0,1,0
2018-11-01 20:31:00,2.0,0,0
2018-11-01 21:35:00,2.0,1,0
2018-11-02 00:27:00,2.0,0,0
2018-11-02 00:32:00,2.0,1,0
2018-11-02 03:57:00,2.0,0,0
2018-11-02 03:59:00,2.0,1,0
2018-11-02 04:09:00,2.0,0,0
2018-11-02 04:26:00,2.0,1,0
2018-11-02 09:01:00,2.0,0,0
2018-11-02 09:36:00,2.0,1,0
2018-11-02 09:56:00,2.0,0,0
2018-11-02 16:11:00,2.0,1,0
2018-11-02 17:03:00,2.0,0,0
2018-11-02 17:09:00,3.0,1,0
2018-11-02 20:40:00,2.0,0,0
2018-11-02 21:01:00,2.0,1,0
2018-11-02 21:30:00,2.0,0,0
2018-11-02 21:37:00,3.0,1,0
2018-11-02 21:57:00,2.0,0,0
2018-11-02 22:00:00,2.0,1,0
2018-11-02 22:29:00,2.0,0,0
2018-11-02 22:57:00,2.0,1,0
2018-11-03 01:34:00,2.0,0,0
2018-11-03 01:48:00,2.0,1,0
2018-11-03 04:24:00,2.0,0,0
2018-11-03 04:30:00,2.0,1,0
2018-11-03 04:40:00,2.0,0,0
2018-11-03 05:44:00,2.0,1,0
2018-11-05 03:54:00,2.0,0,0
2018-11-05 04:21:00,2.0,1,0
2018-11-05 09:03:00,2.0,0,0
2018-11-05 09:12:00,2.0,1,0
2018-11-05 09:16:00,2.0,0,0
2018-11-05 09:31:00,2.0,1,0
2018-11-05 09:56:00,2.0,0,0
2018-11-05 12:49:00,2.0,1,0
2018-11-05 17:15:00,2.0,0,0
2018-11-05 21:35:00,2.0,1,0
2018-11-06 04:06:00,2.0,0,0
2018-11-06 04:21:00,2.0,1,0
2018-11-06 09:17:00,2.0,0,0
2018-11-06 09:32:00,3.0,1,0
2018-11-06 09:56:00,2.0,0,0
2018-11-06 14:19:00,2.0,1,0
2018-11-06 17:06:00,2.0,0,0
2018-11-06 17:11:00,2.0,1,0
2018-11-06 20:41:00,2.0,0,0
2018-11-06 21:35:00,2.0,1,0
