EventTime,Time,NR,A
2018-11-01 00:13:00,13.0,1,0
2018-11-01 04:11:00,13.0,0,0
2018-11-01 05:05:00,11.0,1,0
2018-11-01 07:32:00,12.0,0,0
2018-11-01 07:36:00,12.0,1,0
2018-11-01 09:20:00,12.0,0,0
2018-11-01 09:37:00,12.0,1,0
2018-11-01 09:53:00,12.0,0,0
2018-11-01 11:08:00,12.0,1,0
2018-11-01 11:40:00,13.0,0,0
2018-11-01 12:08:00,12.0,1,0
2018-11-01 12:13:00,13.0,0,0
2018-11-01 12:36:00,12.0,1,0
2018-11-01 12:58:00,13.0,0,0
2018-11-01 13:09:00,13.0,1,0
2018-11-01 13:15:00,13.0,0,0
2018-11-01 13:53:00,13.0,1,0
2018-11-01 15:03:00,12.0,0,0
2018-11-01 15:06:00,12.0,1,0
2018-11-01 15:55:00,13.0,0,0
2018-11-01 16:01:00,12.0,1,0
2018-11-01 16:12:00,13.0,0,0
2018-11-01 16:18:00,12.0,1,0
2018-11-01 16:27:00,13.0,0,0
2018-11-01 16:34:00,12.0,1,0
2018-11-01 16:41:00,12.0,0,0
2018-11-01 16:50:00,13.0,1,0
2018-11-01 16:55:00,12.0,0,0
2018-11-01 17:04:00,13.0,1,0
2018-11-01 17:11:00,12.0,0,0
2018-11-01 17:20:00,12.0,1,0
2018-11-01 17:28:00,12.0,0,0
2018-11-01 17:35:00,12.0,1,0
2018-11-01 17:41:00,12.0,0,0
2018-11-01 17:50:00,13.0,1,0
2018-11-01 17:56:00,13.0,0,0
2018-11-01 18:06:00,13.0,1,0
2018-11-01 18:11:00,13.0,0,0
2018-11-01 18:21:00,13.0,1,0
2018-11-01 18:30:00,12.0,0,0
2018-11-01 18:39:00,13.0,1,0
2018-11-01 18:44:00,11.0,0,0
2018-11-01 18:51:00,13.0,1,0
2018-11-01 19:12:00,12.0,0,0
2018-11-01 19:18:00,12.0,1,0
2018-11-01 19:37:00,12.0,0,0
2018-11-01 20:36:00,13.0,1,0
2018-11-01 20:44:00,12.0,0,0
2018-11-01 21:37:00,12.0,1,0
2018-11-01 21:55:00,13.0,0,0
2018-11-01 22:08:00,12.0,1,0
2018-11-01 22:21:00,13.0,0,0
2018-11-01 23:12:00,12.0,1,0
2018-11-01 23:36:00,13.0,0,0
2018-11-01 23:48:00,12.0,1,0
2018-11-02 00:32:00,12.0,0,0
2018-11-02 01:06:00,12.0,1,0
2018-11-02 07:32:00,12.0,0,0
2018-11-02 07:37:00,13.0,1,0
2018-11-02 09:19:00,13.0,0,0
2018-11-02 09:37:00,12.0,1,0
2018-11-02 09:55:00,12.0,0,0
2018-11-02 10:08:00,12.0,1,0
2018-11-02 12:06:00,13.0,0,0
2018-11-02 12:09:00,13.0,1,0
2018-11-02 12:36:00,12.0,0,0
2018-11-02 13:07:00,12.0,1,0
2018-11-02 13:13:00,12.0,0,0
2018-11-02 13:38:00,12.0,1,0
2018-11-02 13:47:00,13.0,0,0
2018-11-02 14:06:00,12.0,1,0
2018-11-02 15:07:00,13.0,0,0
2018-11-02 15:10:00,13.0,1,0
2018-11-02 15:57:00,13.0,0,0
2018-11-02 16:02:00,13.0,1,0
2018-11-02 16:14:00,13.0,0,0
2018-11-02 16:20:00,13.0,1,0
2018-11-02 16:26:00,12.0,0,0
